FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_618\glorot\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 225
Number of single edges: 225
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

15186 subgraphs were enumerated in the original network.
1339403 subgraphs were enumerated in the random networks.
1354589 subgraphs were enumerated in all networks.

For the random networks: 97795 tries were made, 65246 were successful.
Randomization took 0.051 seconds.
Enumeration took 1.582 seconds.

140,0000,0.12512%,0.11446%,0.00029792,0.35773,0.39
,0000
,3000
,3300

2182,0000,0.12512%,0.015045%,0.00011837,9.2988,0
,2000
,2000
,0230

74,0000,0.11853%,0.43123%,0.00063924,-4.8918,1
,0000
,0200
,3020

392,0000,0.11853%,0.088009%,0.00034359,0.88831,0.2
,1000
,0300
,3000

392,0000,0.11853%,0.12642%,0.00040706,-0.19386,0.54
,3000
,0300
,3000

140,0000,0.11853%,0.18651%,0.00041652,-1.632,0.96
,0000
,2000
,3100

2116,0000,0.11195%,0.067244%,0.00017287,2.5858,0
,2000
,0300
,0300

140,0000,0.11195%,0.10616%,0.00047507,0.12176,0.42
,0000
,0100
,2100

74,0000,0.10536%,0.13988%,0.00041765,-0.82653,0.79
,0000
,0100
,2030

2116,0000,0.098775%,0.06395%,0.00019991,1.742,0.05
,0003
,0003
,3000

28,0000,0.098775%,0.063359%,0.00017296,2.0476,0.03
,0000
,0003
,2100

28,0000,0.098775%,0.067963%,0.00017595,1.7511,0.02
,0000
,0001
,2300

392,0000,0.098775%,0.027566%,0.00017014,4.1852,0
,0010
,2000
,3000

74,0000,0.098775%,0.088784%,0.00035622,0.28048,0.4
,0000
,0100
,2010

74,0000,0.098775%,0.16488%,0.00035038,-1.8866,0.99
,0000
,0300
,1020

14,0000,0.09219%,0.059869%,0.00015929,2.0291,0
,0000
,0000
,2330

28,0000,0.09219%,0.070334%,0.00019136,1.1421,0.11
,0000
,0002
,1100

392,0000,0.09219%,0.017515%,0.00012574,5.9388,0
,0010
,2000
,1000

2182,0000,0.09219%,0.0071737%,7.6325e-005,11.139,0
,1000
,2000
,0320

140,0000,0.085605%,0.25396%,0.00069845,-2.4104,1
,0000
,0300
,2100

28,0000,0.085605%,0.055724%,0.00017713,1.687,0.04
,0000
,0003
,2200

204,0000,0.085605%,0.0054679%,6.3083e-005,12.703,0
,0000
,3200
,2100

2182,0000,0.07902%,0.0071644%,7.7693e-005,9.2487,0
,2000
,3000
,0230

140,0000,0.07902%,0.069785%,0.00024331,0.37958,0.33
,0000
,1000
,2100

74,0000,0.07902%,0.12207%,0.00030851,-1.3953,0.93
,0000
,0100
,3020

2182,0000,0.07902%,0.0066233%,6.5821e-005,10.999,0
,3000
,1000
,0230

140,0000,0.07902%,0.12089%,0.00036839,-1.1365,0.87
,0000
,2000
,1100

392,0000,0.07902%,0.067021%,0.00028968,0.41423,0.3
,0001
,3000
,1000

28,0000,0.072435%,0.047584%,0.00013657,1.8196,0.04
,0000
,0003
,3100

2116,0000,0.072435%,0.044822%,0.00014893,1.8541,0.02
,1000
,0300
,0300

2116,0000,0.072435%,0.046373%,0.00015702,1.6598,0.05
,1000
,0100
,0300

140,0000,0.072435%,0.076547%,0.00019398,-0.21199,0.57
,0000
,3000
,3100

