FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_618\orth\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 217
Number of single edges: 217
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

13604 subgraphs were enumerated in the original network.
1208844 subgraphs were enumerated in the random networks.
1222448 subgraphs were enumerated in all networks.

For the random networks: 93238 tries were made, 63174 were successful.
Randomization took 0.049 seconds.
Enumeration took 1.419 seconds.

204,0000,0.022052%,0.0018141%,3.4336e-005,5.8942,0
,0000
,2300
,3200

2182,0000,0.022052%,0.01006%,0.00010466,1.1458,0.17
,2000
,2000
,0210

2116,0000,0.022052%,0.015047%,8.8217e-005,0.79416,0.31
,0001
,0001
,2000

204,0000,0.022052%,0.0038786%,5.6658e-005,3.2076,0
,0000
,1300
,2300

140,0000,0.022052%,0.081544%,0.00027015,-2.2022,1
,0000
,0100
,2100

2182,0000,0.022052%,0.0028082%,5.287e-005,3.6399,0.01
,1000
,3000
,0230

28,0000,0.022052%,0.017943%,7.7216e-005,0.53217,0.46
,0000
,0001
,3100

28,0000,0.022052%,0.017132%,7.7507e-005,0.63482,0.4
,0000
,0001
,3300

140,0000,0.022052%,0.047753%,0.00027381,-0.93863,0.88
,0000
,2000
,1100

392,0000,0.022052%,0.088964%,0.00037046,-1.8062,0.98
,0001
,2000
,1000

2182,0000,0.014702%,8.2871e-005%,8.2871e-006,17.64,0
,1000
,2000
,0330

14,0000,0.014702%,0.011486%,5.099e-005,0.63067,0.46
,0000
,0000
,1330

2116,0000,0.014702%,0.010748%,6.6075e-005,0.59834,0.51
,0001
,0001
,3000

204,0000,0.014702%,0.001333%,3.5066e-005,3.8124,0.02
,0000
,2100
,3300

204,0000,0.014702%,0.0018125%,4.4727e-005,2.8817,0.02
,0000
,2300
,3300

2182,0000,0.014702%,0.00049008%,1.9497e-005,7.289,0
,2000
,3000
,0310

2182,0000,0.014702%,0.0047118%,6.2395e-005,1.601,0.09
,2000
,3000
,0210

74,0000,0.014702%,0.032999%,0.00024235,-0.75502,0.79
,0000
,0200
,3010

536,0000,0.014702%,0.021862%,0.00012043,-0.59455,0.79
,0010
,0003
,3000

204,0000,0.014702%,0.0018248%,3.8437e-005,3.3501,0.02
,0000
,3100
,2300

536,0000,0.014702%,0.014619%,0.00011858,0.0069621,0.53
,0010
,1000
,0300

2182,0000,0.014702%,0.0029802%,5.3174e-005,2.2043,0.07
,1000
,3000
,0210

204,0000,0.014702%,0.0035306%,5.2439e-005,2.1303,0.08
,0000
,1200
,1200

2182,0000,0.014702%,0.0023072%,4.5604e-005,2.7178,0.05
,2000
,2000
,0310

2182,0000,0.014702%,0.0058564%,7.5378e-005,1.1734,0.17
,3000
,3000
,0210

392,0000,0.014702%,0.0080581%,8.8333e-005,0.7521,0.28
,0001
,1000
,1000

2182,0000,0.014702%,8.4282e-005%,8.4282e-006,17.343,0
,3000
,1000
,0310

2182,0000,0.014702%,7.9083e-005%,7.9083e-006,18.49,0
,3000
,3000
,0330

74,0000,0.014702%,0.049717%,0.00017287,-2.0255,1
,0000
,0200
,1030

28,0000,0.0073508%,0.005778%,3.8043e-005,0.41343,0.7
,0000
,0003
,1100

2182,0000,0.0073508%,0.00016617%,1.1692e-005,6.1451,0.02
,2000
,3000
,0330

536,0000,0.0073508%,0.037987%,0.00019008,-1.6117,0.99
,0010
,3000
,0300

2182,0000,0.0073508%,0.00057191%,2.0959e-005,3.2344,0.07
,1000
,2000
,0310

74,0000,0.0073508%,0.045802%,0.00021227,-1.8114,1
,0000
,0200
,3030

2182,0000,0.0073508%,0.0012284%,3.5261e-005,1.7363,0.13
,3000
,1000
,0210

28,0000,0.0073508%,0.005208%,4.0133e-005,0.53392,0.63
,0000
,0003
,3300

2182,0000,0.0073508%,8.2284e-005%,8.2284e-006,8.8334,0.01
,2000
,2000
,0110

74,0000,0.0073508%,0.0083417%,0.0001156,-0.085717,0.47
,0000
,0200
,1010

2182,0000,0.0073508%,0.00090693%,2.5933e-005,2.4848,0.11
,3000
,3000
,0310

